gt_id,date,time,tz,app,category,event_type,direction,content,notes
GT024,2019-02-15,06:21,EST,GooglePodcasts,media,download,,Downloaded NPR Politics and Pod Save America,NOT_RECOVERABLE_NO_SQLITE
GT025,2019-02-15,06:32,EST,AndroidAuto,vehicle,vehicle_connect,,Connected to Vehicle,INDIRECT_ONLY;PDF_TYPO_02/5
GT026,2019-02-15,06:43,EST,AndroidAuto,media,podcast_start,,Started Podcast Up First,INDIRECT_ONLY
GT027,2019-02-15,06:45,EST,AndroidAuto,navigation,directions_request,,Directions to 121 East Tryon Road Raleigh - Route A,INDIRECT_ONLY
GT028,2019-02-15,07:12,EST,AndroidAuto,vehicle,vehicle_disconnect,,Disconnected from Vehicle,INDIRECT_ONLY
GT029,2019-02-15,12:41,EST,AndroidAuto,vehicle,vehicle_connect,,Connected to Vehicle,INDIRECT_ONLY
GT030,2019-02-15,13:13,EST,AndroidAuto,vehicle,vehicle_disconnect,,Disconnected from Vehicle,INDIRECT_ONLY
GT031,2019-02-18,07:04,EST,GooglePodcasts,media,download,,Downloaded Up First,NOT_RECOVERABLE_NO_SQLITE
GT032,2019-02-18,07:05,EST,GooglePodcasts,media,download,,Downloaded NPR Politics,NOT_RECOVERABLE_NO_SQLITE
GT033,2019-02-18,07:40,EST,AndroidAuto,vehicle,vehicle_connect,,Connected to Vehicle and started Up First,INDIRECT_ONLY
GT034,2019-02-18,08:03,EST,AndroidAuto,vehicle,vehicle_disconnect,,Disconnected from Vehicle,INDIRECT_ONLY
GT035,2019-02-18,08:04,EST,AndroidAuto,navigation,directions_request,,Reconnected and got directions to 121 East Tryon Road Raleigh,INDIRECT_ONLY
GT036,2019-02-18,08:19,EST,AndroidAuto,vehicle,vehicle_disconnect,,Disconnected from Vehicle,INDIRECT_ONLY
GT037,2019-02-19,07:25,EST,GooglePodcasts,media,download,,Downloaded Up First,NOT_RECOVERABLE_NO_SQLITE
GT038,2019-02-19,07:29,EST,AndroidAuto,vehicle,vehicle_connect,,Connected to Vehicle,INDIRECT_ONLY
GT039,2019-02-19,07:38,EST,AndroidAuto,navigation,directions_request,,Directions to the Starbucks in Fuquay Varina,INDIRECT_ONLY
GT040,2019-02-19,07:48,EST,AndroidAuto,navigation,directions_request,,Directions to 121 East Tryon Road Raleigh,INDIRECT_ONLY
GT041,2019-02-19,07:49,EST,AndroidAuto,media,podcast_start,,Started Podcast Up First,INDIRECT_ONLY
GT042,2019-02-19,08:15,EST,AndroidAuto,vehicle,vehicle_disconnect,,Disconnected from Vehicle,INDIRECT_ONLY
GT043,2019-02-20,06:57,EST,GooglePodcasts,media,download,,Downloaded Up First,NOT_RECOVERABLE_NO_SQLITE
GT044,2019-02-20,06:58,EST,GooglePodcasts,media,download,,Downloaded Pod Save America and Stay Tuned with Preet,NOT_RECOVERABLE_NO_SQLITE
GT045,2019-02-20,07:03,EST,GooglePodcasts,media,download,,Downloaded NPR Politics,NOT_RECOVERABLE_NO_SQLITE
GT046,2019-02-20,07:04,EST,GooglePodcasts,media,download,,Downloaded Digital Forensics Survival Podcast,NOT_RECOVERABLE_NO_SQLITE
GT047,2019-02-20,07:42,EST,AndroidAuto,vehicle,vehicle_connect,,Connected to Vehicle,INDIRECT_ONLY
GT048,2019-02-20,07:43,EST,AndroidAuto,media,podcast_start,,Started Podcast Up First,INDIRECT_ONLY
GT049,2019-02-20,07:59,EST,AndroidAuto,media,podcast_start,,Started Podcast Stay Tuned with Preet,INDIRECT_ONLY
GT050,2019-02-20,08:23,EST,AndroidAuto,vehicle,vehicle_disconnect,,Disconnected from Vehicle,INDIRECT_ONLY
GT051,2019-02-21,07:13,EST,GooglePodcasts,media,download,,Downloaded Internet of Things Podcast and Up First,NOT_RECOVERABLE_NO_SQLITE
GT052,2019-02-21,07:21,EST,AndroidAuto,vehicle,vehicle_connect,,Connected to Vehicle,INDIRECT_ONLY
GT053,2019-02-21,07:23,EST,AndroidAuto,media,podcast_start,,Started Podcast Up First,INDIRECT_ONLY
GT054,2019-02-21,07:37,EST,AndroidAuto,vehicle,vehicle_disconnect,,Disconnected from Vehicle,INDIRECT_ONLY
GT055,2019-02-21,07:42,EST,AndroidAuto,navigation,directions_request,,Reconnected and got directions to 121 East Tryon Road Raleigh,INDIRECT_ONLY
GT056,2019-02-21,07:45,EST,AndroidAuto,media,podcast_start,,Started Podcast Internet of Things,INDIRECT_ONLY
GT057,2019-02-21,08:11,EST,AndroidAuto,vehicle,vehicle_disconnect,,Disconnected from Vehicle,INDIRECT_ONLY
GT058,2019-02-22,06:55,EST,GooglePodcasts,media,download,,Downloaded Up First and NPR Politics,NOT_RECOVERABLE_NO_SQLITE
GT059,2019-02-22,07:38,EST,AndroidAuto,vehicle,vehicle_connect,,Connected to Vehicle,INDIRECT_ONLY
GT060,2019-02-22,07:40,EST,AndroidAuto,media,podcast_start,,Started Podcast Up First,INDIRECT_ONLY
GT061,2019-02-22,07:55,EST,AndroidAuto,media,podcast_start,,Started Podcast NPR Politics,INDIRECT_ONLY
GT062,2019-02-22,08:18,EST,AndroidAuto,vehicle,vehicle_disconnect,,Disconnected from Vehicle,INDIRECT_ONLY
GT063,2019-02-22,18:05,EST,Phone,call,call_missed,incoming,Missed Phone Call,
GT064,2019-02-25,07:00,EST,GooglePodcasts,media,download,,Downloaded Up First and NPR Politics,NOT_RECOVERABLE_NO_SQLITE
GT065,2019-02-25,07:01,EST,AndroidAuto,vehicle,vehicle_connect,,Connected to Vehicle,INDIRECT_ONLY
GT066,2019-02-25,07:26,EST,AndroidAuto,media,podcast_start,,Started Podcast Up First,INDIRECT_ONLY
GT067,2019-02-25,07:40,EST,AndroidAuto,vehicle,vehicle_disconnect,,Disconnected from Vehicle,INDIRECT_ONLY
GT068,2019-02-27,06:51,EST,GooglePodcasts,media,download,,Downloaded Up First,NOT_RECOVERABLE_NO_SQLITE
GT069,2019-02-27,06:52,EST,GooglePodcasts,media,subscribe,,Subscribed to Digital Forensic Survival Podcast,NOT_RECOVERABLE_NO_SQLITE
GT070,2019-02-27,06:53,EST,GooglePodcasts,media,download,,Downloaded Digital Forensic Survival Podcast,NOT_RECOVERABLE_NO_SQLITE
GT071,2019-02-27,07:41,EST,AndroidAuto,vehicle,vehicle_connect,,Connected to Vehicle,INDIRECT_ONLY
GT072,2019-02-27,07:42,EST,AndroidAuto,media,podcast_start,,Started Podcast Up First,INDIRECT_ONLY
GT073,2019-02-27,08:33,EST,AndroidAuto,vehicle,vehicle_disconnect,,Disconnected from Vehicle,INDIRECT_ONLY
GT074,2019-02-27,19:32,EST,System,power,charger_on,,On charger,
GT075,2019-02-28,07:01,EST,System,power,charger_off,,Off charger,
GT076,2019-03-04,08:40,EST,System,power,charger_on,,On charger,
GT077,2019-03-04,15:46,EST,System,power,charger_off,,Off charger,
GT078,2019-03-05,07:16,EST,GooglePodcasts,media,download,,Downloaded Up First and Pod Save America,NOT_RECOVERABLE_NO_SQLITE
GT079,2019-03-05,07:19,EST,AndroidAuto,vehicle,vehicle_connect,,Connected to Vehicle,INDIRECT_ONLY
GT080,2019-03-05,07:29,EST,AndroidAuto,media,podcast_start,,Started Podcast Up First,INDIRECT_ONLY
GT081,2019-03-05,07:30,EST,AndroidAuto,navigation,directions_request,,Directions to the Starbucks in Fuquay Varina,INDIRECT_ONLY
GT082,2019-03-05,07:47,EST,AndroidAuto,media,podcast_start,,Started Podcast Pod Save America,INDIRECT_ONLY
GT083,2019-03-05,07:49,EST,AndroidAuto,navigation,directions_request,,Directions to 121 East Tryon Road Raleigh,INDIRECT_ONLY
GT084,2019-03-05,08:07,EST,AndroidAuto,vehicle,vehicle_disconnect,,Disconnected from Vehicle,INDIRECT_ONLY
GT085,2019-03-06,07:05,EST,GooglePodcasts,media,download,,Downloaded Up First and NPR Politics,NOT_RECOVERABLE_NO_SQLITE
GT086,2019-03-06,07:37,EST,AndroidAuto,vehicle,vehicle_connect,,Connected to Vehicle,INDIRECT_ONLY
GT087,2019-03-06,07:38,EST,AndroidAuto,media,podcast_start,,Started Podcast Up First,INDIRECT_ONLY
GT088,2019-03-06,07:52,EST,AndroidAuto,media,podcast_start,,Started Podcast NPR Politics,INDIRECT_ONLY
GT089,2019-03-06,08:20,EST,AndroidAuto,vehicle,vehicle_disconnect,,Disconnected from Vehicle,INDIRECT_ONLY
GT090,2019-03-07,07:18,EST,GooglePodcasts,media,download,,Downloaded Up First and Internet of Things Podcast,NOT_RECOVERABLE_NO_SQLITE
GT091,2019-03-07,07:19,EST,GooglePodcasts,media,download,,Downloaded Stay Tuned with Preet,NOT_RECOVERABLE_NO_SQLITE
GT092,2019-03-07,07:25,EST,AndroidAuto,vehicle,vehicle_connect,,Connected to Vehicle,INDIRECT_ONLY
GT093,2019-03-07,07:28,EST,AndroidAuto,vehicle,vehicle_disconnect,,Disconnected from Vehicle,INDIRECT_ONLY
GT094,2019-03-11,07:16,EDT,GooglePodcasts,media,download,,Downloaded Up First,NOT_RECOVERABLE_NO_SQLITE
GT095,2019-03-11,07:17,EDT,GooglePodcasts,media,download,,Downloaded NPR Politics,NOT_RECOVERABLE_NO_SQLITE
GT096,2019-03-11,07:20,EDT,AndroidAuto,vehicle,vehicle_connect,,Connected to Vehicle,INDIRECT_ONLY
GT097,2019-03-11,07:31,EDT,AndroidAuto,media,podcast_start,,Started Podcast Up First,INDIRECT_ONLY
GT098,2019-03-11,07:58,EDT,AndroidAuto,vehicle,vehicle_disconnect,,Disconnected from Vehicle,INDIRECT_ONLY
GT099,2019-03-13,18:52,EDT,System,power,charger_on,,On charger,
GT100,2019-03-15,06:55,EDT,System,power,charger_off,,Off charger,
GT101,2019-03-15,07:10,EDT,GooglePodcasts,media,download,,Downloaded Up First and NPR Politics,NOT_RECOVERABLE_NO_SQLITE
GT102,2019-03-15,07:12,EDT,AndroidAuto,vehicle,vehicle_connect,,Connected to Vehicle,INDIRECT_ONLY
GT103,2019-03-15,07:13,EDT,AndroidAuto,media,podcast_start,,Started Podcast Up First,INDIRECT_ONLY
GT104,2019-03-15,07:31,EDT,AndroidAuto,media,podcast_start,,Started Podcast NPR Politics,INDIRECT_ONLY
GT105,2019-03-15,07:54,EDT,AndroidAuto,vehicle,vehicle_disconnect,,Disconnected from Vehicle,INDIRECT_ONLY
GT106,2019-03-15,15:14,EDT,Phone,call,call_missed,incoming,Missed Phone Call,
GT107,2019-03-19,11:10,EDT,System,power,charger_on,,On charger,
GT108,2019-03-19,16:28,EDT,System,power,charger_off,,Off charger,
GT109,2019-03-25,11:37,EDT,System,power,charger_on,,On charger - battery had completely discharged,
GT110,2019-03-25,12:37,EDT,System,power,reboot,,Phone reboot,
GT111,2019-03-25,16:26,EDT,System,power,charger_off,,Off charger,
GT112,2019-03-28,11:33,EDT,System,power,charger_on,,On charger,
GT113,2019-03-28,12:03,EDT,Phone,call,call_missed,incoming,Missed Phone Call,
GT114,2019-03-28,16:32,EDT,System,power,charger_off,,Off charger,
GT115,2019-03-30,14:50,EDT,Skype,messaging,sign_in,,Signed in,
GT116,2019-03-30,14:54,EDT,WickrMe,messaging,sign_in,,Signed in,NOT_RECOVERABLE_NO_SQLITE
GT117,2019-03-30,15:00,EDT,kik,messaging,message_sent,outgoing,Test Message 1,
GT118,2019-03-30,15:01,EDT,kik,messaging,message_received,incoming,Got it. Want me to send a picture?,
GT119,2019-03-30,15:01,EDT,kik,messaging,message_sent,outgoing,Yes please.,
GT120,2019-03-30,15:02,EDT,kik,media,picture_received,incoming,Picture Received,
GT121,2019-03-30,15:02,EDT,kik,messaging,message_sent,outgoing,Ha! My turn.,
GT122,2019-03-30,15:09,EDT,Google,search,web_search,,Searched xerox alto from GSB,
GT123,2019-03-30,15:10,EDT,Google,media,picture_download,incoming,Downloaded picture,
GT124,2019-03-30,15:11,EDT,kik,media,picture_sent,outgoing,Picture Sent,
GT125,2019-03-30,15:15,EDT,kik,call,call_outgoing,outgoing,Outgoing Video Call ~2:00,
GT126,2019-03-30,15:16,EDT,WhatsApp,messaging,message_sent,outgoing,Test message 1. Get it?,
GT127,2019-03-30,15:17,EDT,WhatsApp,messaging,message_received,incoming,I did!,
GT128,2019-03-30,15:18,EDT,WhatsApp,messaging,message_sent,outgoing,Good!,
GT129,2019-03-30,15:19,EDT,WhatsApp,media,picture_sent,outgoing,Picture Sent,
GT130,2019-03-30,15:19,EDT,WhatsApp,media,picture_received,incoming,Picture Received,
GT131,2019-03-30,15:21,EDT,WhatsApp,call,call_outgoing,outgoing,Outgoing Audio Call ~1:15,
GT132,2019-03-30,15:24,EDT,WhatsApp,call,call_incoming,incoming,Incoming Video Call 1:24,
GT133,2019-03-30,15:36,EDT,Skype,messaging,message_received,incoming,Hi there.,
GT134,2019-03-30,15:38,EDT,Skype,messaging,message_sent,outgoing,Hello. Sorry I changed account names.,
GT135,2019-03-31,08:28,EDT,Skype,messaging,message_received,incoming,That's fine. I'll send you a picture.,
GT136,2019-03-31,08:28,EDT,Skype,media,picture_received,incoming,Picture Received,
GT137,2019-03-31,08:29,EDT,Skype,media,picture_sent,outgoing,Picture Sent,
GT138,2019-03-31,08:30,EDT,Skype,call,call_outgoing,outgoing,Outgoing Audio Call 1:20,
GT139,2019-03-31,08:32,EDT,Skype,call,call_incoming,incoming,Incoming Video Call 1:30,
GT140,2019-03-31,08:34,EDT,Signal,messaging,message_sent,outgoing,Here's a test message.,NOT_RECOVERABLE_ENCRYPTED
GT141,2019-03-31,08:34,EDT,Signal,messaging,message_received,incoming,Got it.,NOT_RECOVERABLE_ENCRYPTED
GT142,2019-03-31,08:37,EDT,Signal,messaging,message_received,incoming,I'll send a picture.,NOT_RECOVERABLE_ENCRYPTED
GT143,2019-03-31,08:38,EDT,Signal,media,picture_received,incoming,Picture Received,NOT_RECOVERABLE_ENCRYPTED
GT144,2019-03-31,08:41,EDT,Signal,media,picture_sent,outgoing,Picture Sent,NOT_RECOVERABLE_ENCRYPTED
GT145,2019-03-31,08:45,EDT,Signal,call,call_incoming,incoming,Incoming Audio Call,NOT_RECOVERABLE_ENCRYPTED
GT146,2019-03-31,08:50,EDT,Line,messaging,message_received,incoming,This is message 1!,
GT147,2019-03-31,08:51,EDT,Line,messaging,message_sent,outgoing,Got it. Thanks!,
GT148,2019-03-31,08:56,EDT,Dust,messaging,sign_in,,Signed in,NOT_RECOVERABLE_PACKAGE_ABSENT
GT149,2019-03-31,10:26,EDT,Line,media,picture_received,incoming,Picture Received,
GT150,2019-03-31,10:30,EDT,Line,media,picture_sent,outgoing,Picture Sent,
GT151,2019-03-31,10:33,EDT,Line,location,location_shared,outgoing,Static Location Sent,
GT152,2019-04-01,07:16,EDT,GooglePodcasts,media,subscribe,,Subscribed to This Week in 4n6 Podcast,NOT_RECOVERABLE_NO_SQLITE
GT153,2019-04-01,07:17,EDT,GooglePodcasts,media,download,,Downloaded This Week in 4n6 Up First and Internet of Things,NOT_RECOVERABLE_NO_SQLITE
GT154,2019-04-01,07:20,EDT,AndroidAuto,vehicle,vehicle_connect,,Connected to Vehicle,INDIRECT_ONLY
GT155,2019-04-01,07:22,EDT,AndroidAuto,media,podcast_start,,Started Podcast This Week in 4n6,INDIRECT_ONLY
GT156,2019-04-01,07:34,EDT,AndroidAuto,media,podcast_start,,Started Podcast Up First,INDIRECT_ONLY
GT157,2019-04-01,07:53,EDT,AndroidAuto,media,podcast_start,,Started Podcast Internet of Things,INDIRECT_ONLY
GT158,2019-04-01,07:54,EDT,AndroidAuto,navigation,directions_request,,Get me directions to work - 121 E Tryon Road Raleigh NC,INDIRECT_ONLY
GT159,2019-04-01,08:11,EDT,AndroidAuto,vehicle,vehicle_disconnect,,Disconnected from Vehicle,INDIRECT_ONLY
GT160,2019-04-01,10:34,EDT,Spotify,media,playback,,Two commercials then Oleander - Why I'm Here,
GT161,2019-04-01,10:35,EDT,Spotify,media,cast,,Cast playback to Lab Speaker - Soundgarden Downface tracks,
GT162,2019-04-01,15:20,EDT,TextNow,account,number_assigned,,Got a New Number,
GT163,2019-04-01,15:28,EDT,TextNow,messaging,message_sent,outgoing,Hi there!,
GT164,2019-04-01,15:29,EDT,TextNow,messaging,message_received,incoming,Here's a picture.,
GT165,2019-04-01,15:30,EDT,TextNow,media,picture_received,incoming,Picture Received,
GT166,2019-04-01,15:30,EDT,TextNow,media,picture_sent,outgoing,Picture Sent,
GT167,2019-04-01,15:30,EDT,TextNow,call,call_outgoing,outgoing,Outgoing Audio Call 0:00,
GT168,2019-04-02,08:06,EDT,TextNow,call,call_incoming,incoming,Incoming Audio Call 1:10,
GT169,2019-04-02,08:09,EDT,Line,call,call_outgoing,outgoing,Outgoing Audio Call 1:10,
GT170,2019-04-02,08:10,EDT,Line,call,call_incoming,incoming,Incoming Video Call 0:10,
GT171,2019-04-02,08:10,EDT,Line,call,call_outgoing,outgoing,Outgoing Video Call 1:45,
GT172,2019-04-02,08:58,EDT,TikTok,messaging,message_sent,outgoing,Hi there!,
GT173,2019-04-02,08:59,EDT,TikTok,messaging,message_received,incoming,Hello,
GT174,2019-04-02,08:59,EDT,TikTok,messaging,message_sent,outgoing,Test message 2,
GT175,2019-04-02,09:00,EDT,TikTok,messaging,message_received,incoming,Received,
GT176,2019-04-02,09:02,EDT,TikTok,social,video_posted,outgoing,Posted Video,
GT177,2019-04-02,09:02,EDT,TikTok,social,like_received,incoming,Another User Liked Posted Video,
GT178,2019-04-02,09:03,EDT,TikTok,social,comment_received,incoming,Another User Commented on Posted Video,
GT179,2019-04-02,09:04,EDT,TikTok,social,comment_reply,outgoing,Replied to Posted Video Comment,
GT180,2019-04-02,09:07,EDT,TikTok,social,like_given,outgoing,Liked Another User's Video,
GT181,2019-04-02,09:08,EDT,TikTok,social,comment_given,outgoing,Nice Tower,
GT182,2019-04-02,15:17,EDT,imo,messaging,message_received,incoming,Hi there!,NOT_RECOVERABLE_PACKAGE_ABSENT
GT183,2019-04-02,15:18,EDT,imo,messaging,message_sent,outgoing,Hey! I'll send you a picture,NOT_RECOVERABLE_PACKAGE_ABSENT
GT184,2019-04-02,15:20,EDT,imo,media,picture_sent,outgoing,Picture Sent,NOT_RECOVERABLE_PACKAGE_ABSENT
GT185,2019-04-02,15:21,EDT,imo,media,picture_received,incoming,Picture Received,NOT_RECOVERABLE_PACKAGE_ABSENT
GT186,2019-04-02,15:35,EDT,imo,call,call_outgoing,outgoing,Outgoing Video Call 0:55,NOT_RECOVERABLE_PACKAGE_ABSENT
GT187,2019-04-02,15:37,EDT,imo,call,call_incoming,incoming,Incoming Audio Call 1:33,NOT_RECOVERABLE_PACKAGE_ABSENT
GT188,2019-04-02,15:49,EDT,Telegram,messaging,message_sent,outgoing,Hello.,
GT189,2019-04-02,15:50,EDT,Telegram,messaging,message_received,incoming,Hi there.,
GT190,2019-04-02,15:51,EDT,Telegram,media,picture_sent,outgoing,Picture Sent,
GT191,2019-04-02,16:10,EDT,Telegram,media,picture_received,incoming,Picture Received,
GT192,2019-04-02,16:11,EDT,Telegram,call,call_outgoing,outgoing,Outgoing Audio Call 0:04,
GT193,2019-04-02,16:12,EDT,Telegram,call,call_outgoing,outgoing,Outgoing Audio Call 0:03,
GT194,2019-04-02,16:19,EDT,Wire,messaging,message_sent,outgoing,I could not get Telegram to hold a phone call,NOT_RECOVERABLE_PACKAGE_ABSENT
GT195,2019-04-02,16:20,EDT,Wire,messaging,message_received,incoming,It's ok.,NOT_RECOVERABLE_PACKAGE_ABSENT
GT196,2019-04-02,16:21,EDT,Wire,messaging,ping_sent,outgoing,Ping Sent,NOT_RECOVERABLE_PACKAGE_ABSENT
GT197,2019-04-02,16:22,EDT,Wire,location,location_shared,outgoing,Static Location Sent,NOT_RECOVERABLE_PACKAGE_ABSENT
GT198,2019-04-02,16:36,EDT,System,power,charger_on,,On charger,
GT199,2019-04-02,17:54,EDT,System,power,charger_off,,Off charger,
GT200,2019-04-03,12:20,EDT,Snapchat,messaging,sign_in,,Signed In,
GT201,2019-04-03,16:03,EDT,Wire,call,call_incoming,incoming,Incoming Audio Call ~0:04,NOT_RECOVERABLE_PACKAGE_ABSENT
GT202,2019-04-03,16:04,EDT,Wire,call,call_incoming,incoming,Incoming Audio Call 1:10,NOT_RECOVERABLE_PACKAGE_ABSENT
GT203,2019-04-03,16:06,EDT,Wire,call,call_outgoing,outgoing,Outgoing Video Call 1:30,NOT_RECOVERABLE_PACKAGE_ABSENT
GT204,2019-04-03,16:08,EDT,Wire,media,picture_sent,outgoing,Picture Sent,NOT_RECOVERABLE_PACKAGE_ABSENT
GT205,2019-04-03,16:09,EDT,Wire,media,picture_received,incoming,Picture Received and Saved,NOT_RECOVERABLE_PACKAGE_ABSENT
GT206,2019-04-03,16:10,EDT,Twitter,messaging,message_sent,outgoing,Hello there!,
GT207,2019-04-03,16:11,EDT,Twitter,messaging,message_received,incoming,Hi again.,
GT208,2019-04-03,16:11,EDT,Camera,media,photo_taken,,Took Picture,
GT209,2019-04-03,16:12,EDT,Twitter,media,picture_sent,outgoing,Picture Sent,
GT210,2019-04-03,16:12,EDT,Twitter,media,picture_received,incoming,Picture Received,
GT211,2019-04-03,16:13,EDT,Twitter,media,picture_saved,,Saved Received Picture,
GT212,2019-04-03,16:23,EDT,FacebookMessenger,messaging,message_sent,outgoing,Hey! Long time!,
GT213,2019-04-03,16:24,EDT,FacebookMessenger,messaging,message_received,incoming,No kidding. Vid call.,
GT214,2019-04-03,16:25,EDT,FacebookMessenger,call,call_outgoing,outgoing,Outgoing Video Call 1:03,
GT215,2019-04-03,16:27,EDT,FacebookMessenger,call,call_incoming,incoming,Incoming Audio Call 1:30,
GT216,2019-04-03,16:30,EDT,Camera,media,photo_taken,,Took Picture,
GT217,2019-04-03,16:30,EDT,FacebookMessenger,media,picture_sent,outgoing,Took and Sent Picture,
GT218,2019-04-03,16:37,EDT,FacebookMessenger,media,picture_received,incoming,Picture Received and Saved,
GT219,2019-04-03,20:11,EDT,Instagram,messaging,sign_in,,Sign in,
GT220,2019-04-03,20:12,EDT,Instagram,call,call_incoming,incoming,Incoming Video Call 0:26,
GT221,2019-04-03,20:13,EDT,Instagram,messaging,message_sent,outgoing,That was horrible.,
GT222,2019-04-03,20:14,EDT,Instagram,messaging,message_received,incoming,Yeah it was bad.,
GT223,2019-04-03,20:14,EDT,Instagram,media,picture_received,incoming,Picture Received,
GT224,2019-04-03,20:15,EDT,Instagram,media,picture_saved,,Picture Saved,
GT225,2019-04-03,20:16,EDT,Instagram,media,picture_sent,outgoing,Picture Sent,
GT226,2019-04-03,20:16,EDT,Viber,messaging,sign_in,,Signed in,
GT227,2019-04-03,20:18,EDT,Google,search,web_search,,Searched Hal 9000 from GSB and downloaded picture,
GT228,2019-04-03,20:19,EDT,AppLock,concealment,lock_configured,,Set the pattern lock,
GT229,2019-04-03,20:02,EDT,Snapchat,call,call_outgoing,outgoing,Outgoing Video Call ~1:30,
GT230,2019-04-03,20:05,EDT,Snapchat,call,call_incoming,incoming,Incoming Audio Call ~1:17,
GT231,2019-04-03,20:06,EDT,Snapchat,messaging,message_sent,outgoing,Hi there.,
GT232,2019-04-03,20:07,EDT,Snapchat,messaging,message_received,incoming,How are you?,
GT233,2019-04-03,20:08,EDT,Snapchat,media,picture_sent,outgoing,Picture Sent,
GT234,2019-04-03,20:09,EDT,Snapchat,media,picture_received,incoming,Picture Received,
GT235,2019-04-03,20:09,EDT,Snapchat,messaging,message_sent,outgoing,Got it.,
GT236,2019-04-04,07:39,EDT,AndroidAuto,vehicle,vehicle_connect,,Connected to Vehicle,INDIRECT_ONLY
GT237,2019-04-04,07:05,EDT,GooglePodcasts,media,download,,Downloaded Up First,NOT_RECOVERABLE_NO_SQLITE
GT238,2019-04-04,07:06,EDT,GooglePodcasts,media,download,,Downloaded Stay Tuned with Preet and Internet of Things,NOT_RECOVERABLE_NO_SQLITE
GT239,2019-04-04,07:40,EDT,AndroidAuto,media,podcast_start,,Started Podcast Up First,INDIRECT_ONLY
GT240,2019-04-04,07:54,EDT,AndroidAuto,media,podcast_start,,Started Podcast Internet of Things,INDIRECT_ONLY
GT241,2019-04-04,08:06,EDT,Maps,navigation,directions_request,,Manually got directions to 121 E Tryon Road Raleigh NC,
GT242,2019-04-04,08:19,EDT,AndroidAuto,vehicle,vehicle_disconnect,,Disconnected from Vehicle,INDIRECT_ONLY
GT243,2019-04-04,11:11,EDT,Viber,messaging,message_received,incoming,Hello.,
GT244,2019-04-04,11:12,EDT,Viber,messaging,message_sent,outgoing,Hi!,
GT245,2019-04-04,11:24,EDT,Google,search,web_search,,Searched osborne 1 from GSB and downloaded picture,
GT246,2019-04-04,11:25,EDT,Viber,media,picture_sent,outgoing,Picture Sent,
GT247,2019-04-04,11:45,EDT,Viber,call,call_outgoing,outgoing,Outgoing Audio Call 1:32,
GT248,2019-04-04,11:48,EDT,Viber,call,call_incoming,incoming,Incoming Video Call 1:55,
GT249,2019-04-04,11:51,EDT,Viber,location,location_shared,outgoing,Static Location Shared,
GT250,2019-04-04,11:55,EDT,WhatsApp,location,location_shared,outgoing,Static Location Shared,
GT251,2019-04-04,11:56,EDT,Telegram,location,location_shared,outgoing,Static Location Shared,PDF_TYPO_YEAR_2016
GT252,2019-04-04,20:15,EDT,SHAREit,filetransfer,file_received,incoming,Received Picture 40D6C0D8-EBFA-4455-95BF,
